performance_id,player,match_id,team_name,runs,wickets,ground,team1_name,team1_score,team2_name,team2_score,toss_winner,toss_decision,match_date,format,match_winner
1,Parvez Hossain Emon,1,Bangladesh,16,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
2,Litton Das,1,Bangladesh,14,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
3,Najmul Hossain Shanto,1,Bangladesh,11,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
4,Towhid Hridoy,1,Bangladesh,2,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
5,Mehidy Hasan Miraz,1,Bangladesh,16,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
6,Mahmudullah,1,Bangladesh,41,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
7,Jaker Ali,1,Bangladesh,1,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
8,Rishad Hossain,1,Bangladesh,9,3.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
9,Tanzim Hasan Sakib,1,Bangladesh,8,2.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
10,Taskin Ahmed,1,Bangladesh,5,2.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
11,Mustafizur Rahman,1,Bangladesh,1,2.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
12,Sanju Samson,1,India,10,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
13,Abhishek Sharma,1,India,15,1.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
14,Suryakumar Yadav,1,India,8,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
15,Nitish Kumar Reddy,1,India,74,2.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
16,Rinku Singh,1,India,53,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
17,Hardik Pandya,1,India,32,0.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
18,Riyan Parag,1,India,15,1.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
19,Washington Sundar,1,India,0,1.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
20,Varun Chakravarthy,1,India,0,2.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
21,Arshdeep Singh,1,India,6,1.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
22,Mayank Yadav,1,India,1,1.0,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20.0,India
23,Andy Balbirnie,2,Ireland,45,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
24,Paul Stirling,2,Ireland,88,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
25,Curtis Campher,2,Ireland,34,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
26,Harry Tector,2,Ireland,60,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
27,Lorcan Tucker,2,Ireland,26,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
28,George Dockrell,2,Ireland,6,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
29,Mark Adair,2,Ireland,8,2.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
30,Fionn Hand,2,Ireland,0,1.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
31,Graham Hume,2,Ireland,1,3.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
32,Matthew Humphreys,2,Ireland,2,1.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
33,Craig Young,2,Ireland,0,3.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
34,Ryan Rickelton,2,South Africa,4,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
35,Reeza Hendricks,2,South Africa,1,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
36,Rassie van der Dussen,2,South Africa,3,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
37,Kyle Verreynne,2,South Africa,38,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
38,Tristan Stubbs,2,South Africa,20,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
39,Jason Smith,2,South Africa,91,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
40,Andile Phehlukwayo,2,South Africa,23,2.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
41,Bjorn Fortuin,2,South Africa,11,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
42,Lizaad Williams,2,South Africa,2,4.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
43,Lungi Ngidi,2,South Africa,9,0.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
44,Ottneil Baartman,2,South Africa,0,2.0,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50.0,Ireland
45,Moeen Ali,3,Guyana Amazon Warriors,14,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
46,Rahmanullah Gurbaz,3,Guyana Amazon Warriors,0,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
47,Shai Hope,3,Guyana Amazon Warriors,22,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
48,Shimron Hetmyer,3,Guyana Amazon Warriors,11,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
49,Keemo Paul,3,Guyana Amazon Warriors,12,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
50,Kevin Sinclair,3,Guyana Amazon Warriors,11,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
51,Raymon Reifer,3,Guyana Amazon Warriors,13,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
52,Romario Shepherd,3,Guyana Amazon Warriors,19,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
53,Dwaine Pretorius,3,Guyana Amazon Warriors,25,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
54,Gudakesh Motie,3,Guyana Amazon Warriors,0,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
55,Imran Tahir,3,Guyana Amazon Warriors,0,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
56,Faf du Plessis,3,St Lucia Kings,21,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
57,Johnson Charles,3,St Lucia Kings,7,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
58,Ackeem Auguste,3,St Lucia Kings,13,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
59,Tim Seifert,3,St Lucia Kings,3,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
60,Roston Chase,3,St Lucia Kings,39,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
61,Aaron Jones,3,St Lucia Kings,48,0.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
62,David Wiese,3,St Lucia Kings,0,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
63,Khary Pierre,3,St Lucia Kings,0,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
64,Matthew Forde,3,St Lucia Kings,0,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
65,Alzarri Joseph,3,St Lucia Kings,0,1.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
66,Noor Ahmad,3,St Lucia Kings,0,3.0,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20.0,St Lucia Kings
67,Parvez Hossain Emon,4,Bangladesh,8,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
68,Litton Das,4,Bangladesh,4,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
69,Najmul Hossain Shanto,4,Bangladesh,27,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
70,Towhid Hridoy,4,Bangladesh,12,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
71,Mahmudullah,4,Bangladesh,1,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
72,Jaker Ali,4,Bangladesh,8,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
73,Mehidy Hasan Miraz,4,Bangladesh,35,1.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
74,Rishad Hossain,4,Bangladesh,11,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
75,Taskin Ahmed,4,Bangladesh,12,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
76,Shoriful Islam,4,Bangladesh,0,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
77,Mustafizur Rahman,4,Bangladesh,1,1.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
78,Sanju Samson,4,India,29,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
79,Abhishek Sharma,4,India,16,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
80,Suryakumar Yadav,4,India,29,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
81,Nitish Kumar Reddy,4,India,16,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
82,Hardik Pandya,4,India,39,1.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
83,Riyan Parag,4,India,0,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
84,Rinku Singh,4,India,0,0.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
85,Washington Sundar,4,India,0,1.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
86,Varun Chakravarthy,4,India,0,3.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
87,Arshdeep Singh,4,India,0,3.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
88,Mayank Yadav,4,India,0,1.0,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20.0,India
89,Rahmanullah Gurbaz,5,Guyana Amazon Warriors,40,0.0,"Providence Stadium, Guyana",Barbados Royals,148,Guyana Amazon Warriors,149,Guyana Amazon Warriors,field,04-10-2024,20.0,Guyana Amazon Warriors
90,Moeen Ali,5,Guyana Amazon Warriors,44,2.0,"Providence Stadium, Guyana",Barbados Royals,148,Guyana Amazon Warriors,149,Guyana Amazon Warriors,field,04-10-2024,20.0,Guyana Amazon Warriors
