match_id,ground,team1_name,team1_score,team2_name,team2_score,toss_winner,toss_decision,match_date,format,match_winner
1,"Arun Jaitley Stadium, Delhi",India,221,Bangladesh,135,Bangladesh,field,09-10-2024,20,India
2,"Zayed Cricket Stadium, Abu Dhabi",Ireland,284,South Africa,215,Ireland,bat,07-10-2024,50,Ireland
3,"Providence Stadium, Guyana",Guyana Amazon Warriors,138,St Lucia Kings,139,St Lucia Kings,field,06-10-2024,20,St Lucia Kings
4,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Bangladesh,127,India,132,India,field,06-10-2024,20,India
5,"Providence Stadium, Guyana",Barbados Royals,148,Guyana Amazon Warriors,149,Guyana Amazon Warriors,field,04-10-2024,20,Guyana Amazon Warriors
6,"Zayed Cricket Stadium, Abu Dhabi",South Africa,343,Ireland,169,South Africa,bat,04-10-2024,50,South Africa
7,"Providence Stadium, Guyana",St Lucia Kings,198,Guyana Amazon Warriors,106,St Lucia Kings,bat,02-10-2024,20,St Lucia Kings
8,"Zayed Cricket Stadium, Abu Dhabi",South Africa,271,Ireland,132,South Africa,bat,02-10-2024,50,South Africa
9,"Providence Stadium, Guyana",Trinbago Knight Riders,168,Barbados Royals,64,Trinbago Knight Riders,bat,01-10-2024,20,Barbados Royals
10,"Providence Stadium, Guyana",Trinbago Knight Riders,211,Guyana Amazon Warriors,137,Trinbago Knight Riders,bat,29-09-2024,20,Trinbago Knight Riders
11,"Zayed Cricket Stadium, Abu Dhabi",Ireland,195,South Africa,185,South Africa,field,29-09-2024,20,Ireland
12,"County Ground, Bristol",England,309,Australia,165,Australia,field,29-09-2024,50,Australia
13,"Providence Stadium, Guyana",Guyana Amazon Warriors,207,St Lucia Kings,172,Guyana Amazon Warriors,bat,28-09-2024,20,Guyana Amazon Warriors
14,"Brian Lara Stadium, Tarouba, Trinidad",Trinbago Knight Riders,175,Barbados Royals,145,Barbados Royals,field,27-09-2024,20,Trinbago Knight Riders
15,"Zayed Cricket Stadium, Abu Dhabi",Ireland,171,South Africa,174,South Africa,field,27-09-2024,20,South Africa
16,"Lord's, London",England,312,Australia,126,Australia,field,27-09-2024,50,England
17,"Providence Stadium, Guyana",Guyana Amazon Warriors,219,Barbados Royals,172,Barbados Royals,field,25-09-2024,20,Guyana Amazon Warriors
18,"Brian Lara Stadium, Tarouba, Trinidad",St Lucia Kings,218,Trinbago Knight Riders,138,Trinbago Knight Riders,field,24-09-2024,20,St Lucia Kings
19,"Riverside Ground, Chester-le-Street",Australia,304,England,254,England,field,24-09-2024,50,England
20,"Brian Lara Stadium, Tarouba, Trinidad",St Kitts and Nevis Patriots,193,Trinbago Knight Riders,197,Trinbago Knight Riders,field,22-09-2024,20,Trinbago Knight Riders
21,"Providence Stadium, Guyana",St Lucia Kings,162,Barbados Royals,149,Barbados Royals,field,22-09-2024,20,St Lucia Kings
22,Sharjah Cricket Stadium,Afghanistan,169,South Africa,170,Afghanistan,bat,22-09-2024,50,South Africa
23,"Providence Stadium, Guyana",Guyana Amazon Warriors,135,Antigua and Barbuda Falcons,108,Antigua and Barbuda Falcons,field,21-09-2024,20,Guyana Amazon Warriors
24,"Providence Stadium, Guyana",Barbados Royals,96,St Lucia Kings,97,Barbados Royals,bat,21-09-2024,20,St Lucia Kings
25,"Headingley, Leeds",Australia,270,England,202,England,field,21-09-2024,50,Australia
26,"Providence Stadium, Guyana",Guyana Amazon Warriors,137,St Kitts and Nevis Patriots,107,St Kitts and Nevis Patriots,field,20-09-2024,20,Guyana Amazon Warriors
27,Sharjah Cricket Stadium,Afghanistan,311,South Africa,134,Afghanistan,bat,20-09-2024,50,Afghanistan
