performance_id,player,match_id,team_name,runs,wickets
1,Parvez Hossain Emon,1,Bangladesh,16,
2,Litton Das,1,Bangladesh,14,
3,Najmul Hossain Shanto,1,Bangladesh,11,
4,Towhid Hridoy,1,Bangladesh,2,
5,Mehidy Hasan Miraz,1,Bangladesh,16,0
6,Mahmudullah,1,Bangladesh,41,0
7,Jaker Ali,1,Bangladesh,1,
8,Rishad Hossain,1,Bangladesh,9,3
9,Tanzim Hasan Sakib,1,Bangladesh,8,2
10,Taskin Ahmed,1,Bangladesh,5,2
11,Mustafizur Rahman,1,Bangladesh,1,2
12,Sanju Samson,1,India,10,
13,Abhishek Sharma,1,India,15,1
14,Suryakumar Yadav,1,India,8,
15,Nitish Kumar Reddy,1,India,74,2
16,Rinku Singh,1,India,53,
17,Hardik Pandya,1,India,32,
18,Riyan Parag,1,India,15,1
19,Washington Sundar,1,India,0,1
20,Varun Chakravarthy,1,India,0,2
21,Arshdeep Singh,1,India,6,1
22,Mayank Yadav,1,India,1,1
23,Andy Balbirnie,2,Ireland,45,
24,Paul Stirling,2,Ireland,88,
25,Curtis Campher,2,Ireland,34,0
26,Harry Tector,2,Ireland,60,
27,Lorcan Tucker,2,Ireland,26,
28,George Dockrell,2,Ireland,6,
29,Mark Adair,2,Ireland,8,2
30,Fionn Hand,2,Ireland,0,1
31,Graham Hume,2,Ireland,1,3
32,Matthew Humphreys,2,Ireland,2,1
33,Craig Young,2,Ireland,0,3
34,Ryan Rickelton,2,South Africa,4,
35,Reeza Hendricks,2,South Africa,1,
36,Rassie van der Dussen,2,South Africa,3,
37,Kyle Verreynne,2,South Africa,38,
38,Tristan Stubbs,2,South Africa,20,0
39,Jason Smith,2,South Africa,91,0
40,Andile Phehlukwayo,2,South Africa,23,2
41,Bjorn Fortuin,2,South Africa,11,0
42,Lizaad Williams,2,South Africa,2,4
43,Lungi Ngidi,2,South Africa,9,0
44,Ottneil Baartman,2,South Africa,0,2
45,Moeen Ali,3,Amazon,14.0,1
46,Rahmanullah Gurbaz,3,Amazon,0.0,
47,Shai Hope,3,Amazon,22.0,
48,Shimron Hetmyer,3,Amazon,11.0,
49,Keemo Paul,3,Amazon,12.0,
50,Kevin Sinclair,3,Amazon,11.0,1
51,Raymon Reifer,3,Amazon,13.0,
52,Romario Shepherd,3,Amazon,19.0,1
53,Dwaine Pretorius,3,Amazon,25.0,1
54,Gudakesh Motie,3,Amazon,0.0,0
55,Imran Tahir,3,Amazon,,0
56,Faf du Plessis,3,Kings,21.0,
57,Johnson Charles,3,Kings,7.0,
58,Ackeem Auguste,3,Kings,13.0,
59,Tim Seifert,3,Kings,3.0,
60,Roston Chase,3,Kings,39.0,1
61,Aaron Jones,3,Kings,48.0,
62,David Wiese,3,Kings,,1
63,Khary Pierre,3,Kings,,1
64,Matthew Forde,3,Kings,,1
65,Alzarri Joseph,3,Kings,,1
66,Noor Ahmad,3,Kings,,3
67,Parvez Hossain Emon,4,Bangladesh,8,
68,Litton Das,4,Bangladesh,4,
69,Najmul Hossain Shanto,4,Bangladesh,27,
70,Towhid Hridoy,4,Bangladesh,12,
71,Mahmudullah,4,Bangladesh,1,
72,Jaker Ali,4,Bangladesh,8,
73,Mehidy Hasan Miraz,4,Bangladesh,35,1
74,Rishad Hossain,4,Bangladesh,11,0
75,Taskin Ahmed,4,Bangladesh,12,0
76,Shoriful Islam,4,Bangladesh,0,0
77,Mustafizur Rahman,4,Bangladesh,1,1
78,Sanju Samson,4,India,29.0,
79,Abhishek Sharma,4,India,16.0,
80,Suryakumar Yadav,4,India,29.0,
81,Nitish Kumar Reddy,4,India,16.0,0
82,Hardik Pandya,4,India,39.0,1
83,Riyan Parag,4,India,,
84,Rinku Singh,4,India,,
85,Washington Sundar,4,India,,1
86,Varun Chakravarthy,4,India,,3
87,Arshdeep Singh,4,India,,3
88,Mayank Yadav,4,India,,1
89,Rahmanullah Gurbaz,5,Amazon,40.0,
90,Moeen Ali,5,Amazon,44.0,2
91,Shai Hope,5,Amazon,56.0,
92,Shimron Hetmyer,5,Amazon,1.0,
93,Keemo Paul,5,Amazon,,
94,Dwaine Pretorius,5,Amazon,,1
95,Romario Shepherd,5,Amazon,,3
96,Raymon Reifer,5,Amazon,,
97,Kevin Sinclair,5,Amazon,,
98,Gudakesh Motie,5,Amazon,,1
99,Imran Tahir,5,Amazon,,1
100,Quinton de Kock,5,Royals,15,
101,Rahkeem Cornwall,5,Royals,19,0
102,Alick Athanaze,5,Royals,26,
103,Kadeem Alleyne,5,Royals,11,
104,Rovman Powell,5,Royals,12,
105,David Miller,5,Royals,36,
106,Jason Holder,5,Royals,19,0
107,Maheesh Theekshana,5,Royals,5,1
